Organisation Name,Town/City,County,Type & Rating,Route,Domain,Email
Smile Europe Limited,Birmingham,Unknown,Worker (A rating),Skilled Worker,smileeuropelimited.co.uk,info@smileeuropelimited.co.uk
Smile Link Dental Limited,Ellesmere Port,Cheshire,Worker (A rating),Skilled Worker,smilelinkdentallimited.co.uk,info@smilelinkdentallimited.co.uk
Softline Solutions Ltd.,London,Greater London,Worker (A rating),Skilled Worker,softlinesolutionsltd.co.uk,info@softlinesolutionsltd.co.uk
Sogim Limited,Bromley,Unknown,Worker (A rating),Skilled Worker,sogimlimited.co.uk,info@sogimlimited.co.uk
Somewhere Restaurant Limited T/A Parker'S,London,Unknown,Worker (A rating),Global Business Mobility: Senior or Specialist Worker,somewhererestaurantlimitedtaparkers.co.uk,info@somewhererestaurantlimitedtaparkers.co.uk
Somewhere Restaurant Limited T/A Parker'S,London,Unknown,Worker (A rating),Skilled Worker,somewhererestaurantlimitedtaparkers.co.uk,info@somewhererestaurantlimitedtaparkers.co.uk
Sophrena Limited,London,London,Worker (A rating),Skilled Worker,sophrenalimited.co.uk,info@sophrenalimited.co.uk
South Derbyshire District Council,Swadlincote,Choose County,Worker (A rating),Skilled Worker,southderbyshiredistrictcouncil.co.uk,info@southderbyshiredistrictcouncil.co.uk
South West Regional Assessment Centre Ltd (Swrac),Wimborne,Dorset,Worker (A rating),Skilled Worker,southwestregionalassessmentcentreltdswrac.co.uk,info@southwestregionalassessmentcentreltdswrac.co.uk
Southshore Global Management Ltd,London,Unknown,Worker (A rating),Skilled Worker,southshoreglobalmanagementltd.co.uk,info@southshoreglobalmanagementltd.co.uk
Southville Stores,MIDDLESEX,Unknown,Worker (A rating),Skilled Worker,southvillestores.co.uk,info@southvillestores.co.uk
Sp Food Mart Limited,EPPING,Unknown,Worker (A rating),Skilled Worker,spfoodmartlimited.co.uk,info@spfoodmartlimited.co.uk
Sp Warren Street Ltd,London,Unknown,Worker (A rating),Skilled Worker,spwarrenstreetltd.co.uk,info@spwarrenstreetltd.co.uk
Spa Health Group Ltd,Kingshurst,West Midlands,Worker (A rating),Skilled Worker,spahealthgroupltd.co.uk,info@spahealthgroupltd.co.uk
Space Ape Limited,London,Unknown,Worker (A rating),Skilled Worker,spaceapelimited.co.uk,info@spaceapelimited.co.uk
Spectrum Wind Services Ltd,Nottingham,Unknown,Worker (A rating),Skilled Worker,spectrumwindservicesltd.co.uk,info@spectrumwindservicesltd.co.uk
Spice N Grill Limited,Southsea,Unknown,Worker (A rating),Skilled Worker,spicengrilllimited.co.uk,info@spicengrilllimited.co.uk
Spicehut Deal Limited T/A Dine India,"Deal, Kent",Unknown,Worker (A rating),Skilled Worker,spicehutdeallimitedtadineindia.co.uk,info@spicehutdeallimitedtadineindia.co.uk
Splatter Art Studio Ltd,Glasgow,Unknown,Worker (A rating),Skilled Worker,splatterartstudioltd.co.uk,info@splatterartstudioltd.co.uk
Squaremd Ltd,London,Unknown,Worker (A rating),Skilled Worker,squaremdltd.co.uk,info@squaremdltd.co.uk
Sri Valli Retail Ltd,Tamworth,Unknown,Worker (A rating),Skilled Worker,srivalliretailltd.co.uk,info@srivalliretailltd.co.uk
Ssj Bullion Limited,Bristol,Unknown,Worker (A rating),Skilled Worker,ssjbullionlimited.co.uk,info@ssjbullionlimited.co.uk
St Luke'S School,St Albans,Unknown,Worker (A rating),Skilled Worker,stlukesschool.co.uk,info@stlukesschool.co.uk
St Margarets Nursery Limited,Edinburgh,Scotland,Worker (A rating),Skilled Worker,stmargaretsnurserylimited.co.uk,info@stmargaretsnurserylimited.co.uk
State Bank Of India (Uk) Limited,London,Unknown,Worker (A rating),Global Business Mobility: Senior or Specialist Worker,statebankofindiauklimited.co.uk,info@statebankofindiauklimited.co.uk
Sternlight Capital Partners Llp,London,England,Worker (A rating),Skilled Worker,sternlightcapitalpartnersllp.co.uk,info@sternlightcapitalpartnersllp.co.uk
Stoke Supermarket Ltd,"SLOUGH, BERKSHIRE",Unknown,Worker (A rating),Skilled Worker,stokesupermarketltd.co.uk,info@stokesupermarketltd.co.uk
Strange Thoughts Group Ltd.,Bristol,Unknown,Worker (A rating),Skilled Worker,strangethoughtsgroupltd.co.uk,info@strangethoughtsgroupltd.co.uk
Strood Mini Mart,ROCHESTER,KENT,Worker (A rating),Skilled Worker,stroodminimart.co.uk,info@stroodminimart.co.uk
Sts Motors Ltd,Cradley Heath,West Midlands,Worker (A rating),Skilled Worker,stsmotorsltd.co.uk,info@stsmotorsltd.co.uk
Sukawatee (Hitchin) Limited,Hitchin,Herts,Worker (A rating),Skilled Worker,sukawateehitchinlimited.co.uk,info@sukawateehitchinlimited.co.uk
Supadu Limited,London,Unknown,Worker (A rating),Skilled Worker,supadulimited.co.uk,info@supadulimited.co.uk
Swayam Ltd,London,Unknown,Worker (A rating),Skilled Worker,swayamltd.co.uk,info@swayamltd.co.uk
Swifttech It Solutions Ltd,Manchester,Cheshire,Worker (A rating),Skilled Worker,swifttechitsolutionsltd.co.uk,info@swifttechitsolutionsltd.co.uk
Syntegral Ltd,Birmingham,Unknown,Worker (A rating),Skilled Worker,syntegralltd.co.uk,info@syntegralltd.co.uk
Systems Technology Consultants Limited,Stoke-on-Trent,Staffordshire,Worker (A rating),Skilled Worker,systemstechnologyconsultantslimited.co.uk,info@systemstechnologyconsultantslimited.co.uk
T & L Retail Ltd,Wembley,Unknown,Worker (A rating),Skilled Worker,tlretailltd.co.uk,info@tlretailltd.co.uk
T N Beeston & Son,Market Drayton,Shropshire,Worker (A rating),Skilled Worker,tnbeestonson.co.uk,info@tnbeestonson.co.uk
T&Tabu Limited T/A Upminster Fruit & Veg,Upminster,Unknown,Worker (A rating),Skilled Worker,ttabulimitedtaupminsterfruitveg.co.uk,info@ttabulimitedtaupminsterfruitveg.co.uk
Tahir Mahmood T/A City Booze,Dundee,Unknown,Worker (A rating),Skilled Worker,tahirmahmoodtacitybooze.co.uk,info@tahirmahmoodtacitybooze.co.uk
Tailored Support Home And Services,Eastbourne,East Sussex,Worker (A rating),Skilled Worker,tailoredsupporthomeandservices.co.uk,info@tailoredsupporthomeandservices.co.uk
Tap Trap Ltd,Edinburgh,Unknown,Worker (A rating),Skilled Worker,taptrapltd.co.uk,info@taptrapltd.co.uk
Tarbert Pharmacy,Tarbert,Unknown,Worker (A rating),Skilled Worker,tarbertpharmacy.co.uk,info@tarbertpharmacy.co.uk
Taste And Twist Ltd,London,Unknown,Worker (A rating),Skilled Worker,tasteandtwistltd.co.uk,info@tasteandtwistltd.co.uk
Tcm Wealth Limited,London,Unknown,Worker (A rating),Skilled Worker,tcmwealthlimited.co.uk,info@tcmwealthlimited.co.uk
Tdk Uk Limited,Bracknell,Berkshire,Worker (A rating),Skilled Worker,tdkuklimited.co.uk,info@tdkuklimited.co.uk
Team Driving Ltd,London,Unknown,Worker (A rating),Skilled Worker,teamdrivingltd.co.uk,info@teamdrivingltd.co.uk
Teamwork Ims,READING,Berkshire,Worker (A rating),Skilled Worker,teamworkims.co.uk,info@teamworkims.co.uk
Ten Kites Ltd,City of London,London,Worker (A rating),Skilled Worker,tenkitesltd.co.uk,info@tenkitesltd.co.uk
Tfc,Welling,Unknown,Worker (A rating),Skilled Worker,tfc.co.uk,info@tfc.co.uk
The Arth Catering Ltd T/A Indiawaale By The Arth,Hatch End,Unknown,Worker (A rating),Skilled Worker,thearthcateringltdtaindiawaalebythearth.co.uk,info@thearthcateringltdtaindiawaalebythearth.co.uk
The Barn Agency Ltd,LONDON,Unknown,Worker (A rating),Skilled Worker,thebarnagencyltd.co.uk,info@thebarnagencyltd.co.uk
The Beeches Uk Limited,Peterborough,Cambridgeshire,Worker (A rating),Skilled Worker,thebeechesuklimited.co.uk,info@thebeechesuklimited.co.uk
The Card Shop Ickenham Ltd,Ickenham,Unknown,Worker (A rating),Skilled Worker,thecardshopickenhamltd.co.uk,info@thecardshopickenhamltd.co.uk
The Den Fight Centre Limited,Spalding,Lincolnshire,Worker (A rating),Skilled Worker,thedenfightcentrelimited.co.uk,info@thedenfightcentrelimited.co.uk
The Egg & Veg Food Plaza Restaurant Ltd,London,Unknown,Worker (A rating),Skilled Worker,theeggvegfoodplazarestaurantltd.co.uk,info@theeggvegfoodplazarestaurantltd.co.uk
The Fund Incubator Limited,London,Unknown,Worker (A rating),Skilled Worker,thefundincubatorlimited.co.uk,info@thefundincubatorlimited.co.uk
The Greenacres Day Nursery School Ltd,Hampton Hill,Unknown,Worker (A rating),Skilled Worker,thegreenacresdaynurseryschoolltd.co.uk,info@thegreenacresdaynurseryschoolltd.co.uk
The Old Thatch Inn Ltd,Castledawson,DERRY,Worker (A rating),Skilled Worker,theoldthatchinnltd.co.uk,info@theoldthatchinnltd.co.uk
The Parochial Church Council Of The Ecclesiastical Parish Of St John The Baptist Leytonstone,London,Unknown,Worker (A rating),Tier 2 Ministers of Religion,theparochialchurchcounciloftheecclesiasticalparishofstjohnthebaptistleytonstone.co.uk,info@theparochialchurchcounciloftheecclesiasticalparishofstjohnthebaptistleytonstone.co.uk
The Salocin Group Ltd,Bath,Bath and North East Somerset,Worker (A rating),Skilled Worker,thesalocingroupltd.co.uk,info@thesalocingroupltd.co.uk
The Somers Town Community Association (Camden),Camden,Unknown,Worker (A rating),Skilled Worker,thesomerstowncommunityassociationcamden.co.uk,info@thesomerstowncommunityassociationcamden.co.uk
The Still Waters Church,WAKEFIELD,WEST YORKSHIRE,Temporary Worker (A rating),Religious Worker,thestillwaterschurch.co.uk,info@thestillwaterschurch.co.uk
The Wyld Herb Company Ltd,London,London,Worker (A rating),Skilled Worker,thewyldherbcompanyltd.co.uk,info@thewyldherbcompanyltd.co.uk
Thinjack Ltd,Westhill,Aberdeenshire,Worker (A rating),Skilled Worker,thinjackltd.co.uk,info@thinjackltd.co.uk
Tile Mania Ltd,MANCHESTER,Unknown,Worker (A rating),Skilled Worker,tilemanialtd.co.uk,info@tilemanialtd.co.uk
Titanium Autos Limited,London,Unknown,Worker (A rating),Skilled Worker,titaniumautoslimited.co.uk,info@titaniumautoslimited.co.uk
Tk Airport Solutions S.A.,Slough,Unknown,Worker (A rating),Global Business Mobility: Senior or Specialist Worker,tkairportsolutionssa.co.uk,info@tkairportsolutionssa.co.uk
Tk Airport Solutions S.A.,Slough,Unknown,Worker (A rating),Skilled Worker,tkairportsolutionssa.co.uk,info@tkairportsolutionssa.co.uk
Touch Associates Limited,Leatherhead,Surrey,Worker (A rating),Skilled Worker,touchassociateslimited.co.uk,info@touchassociateslimited.co.uk
Traditional Threads Limited,Bolton,Unknown,Worker (A rating),Skilled Worker,traditionalthreadslimited.co.uk,info@traditionalthreadslimited.co.uk
Triangulate Health Ltd,Doncaster,South Yorkshire,Worker (A rating),Skilled Worker,triangulatehealthltd.co.uk,info@triangulatehealthltd.co.uk
Trinity Trading And Consulting Limited,Huddersfield,West Yorkshire,Worker (A rating),Skilled Worker,trinitytradingandconsultinglimited.co.uk,info@trinitytradingandconsultinglimited.co.uk
Trustlayer Limited,Basingstoke,Hampshire,Worker (A rating),Skilled Worker,trustlayerlimited.co.uk,info@trustlayerlimited.co.uk
Tunnel Travel Limited,Huddersfield,Unknown,Worker (A rating),Skilled Worker,tunneltravellimited.co.uk,info@tunneltravellimited.co.uk
Ty Derlwyn Ltd,Abergavenny,Monmouthshire,Worker (A rating),Skilled Worker,tyderlwynltd.co.uk,info@tyderlwynltd.co.uk
U R Derder Travel Ltd,Sutton,Unknown,Worker (A rating),Skilled Worker,urderdertravelltd.co.uk,info@urderdertravelltd.co.uk
Uberplas Ltd,LONDON,Unknown,Worker (A rating),Skilled Worker,uberplasltd.co.uk,info@uberplasltd.co.uk
Uc World-Link Logistic And Distribution Ltd,Blackburn,Unknown,Worker (A rating),Skilled Worker,ucworldlinklogisticanddistributionltd.co.uk,info@ucworldlinklogisticanddistributionltd.co.uk
Uge Dent Ltd,LONDON,Unknown,Worker (A rating),Skilled Worker,ugedentltd.co.uk,info@ugedentltd.co.uk
Uk Car Park Ltd,Polegate,Polegate,Worker (A rating),Skilled Worker,ukcarparkltd.co.uk,info@ukcarparkltd.co.uk
Uk Netease Interactive Entertainment Limited,Surrey,Unknown,Worker (A rating),Global Business Mobility: Senior or Specialist Worker,ukneteaseinteractiveentertainmentlimited.co.uk,info@ukneteaseinteractiveentertainmentlimited.co.uk
Uk Pakiza Halal Foods Limited,Preston,Unknown,Worker (A rating),Skilled Worker,ukpakizahalalfoodslimited.co.uk,info@ukpakizahalalfoodslimited.co.uk
Uk Sequoia International Import And Export Limited,Ilford,Unknown,Worker (A rating),Skilled Worker,uksequoiainternationalimportandexportlimited.co.uk,info@uksequoiainternationalimportandexportlimited.co.uk
Ultrasound Scotland Ltd T/A Ultrasound Direct,Livingston,Unknown,Worker (A rating),Skilled Worker,ultrasoundscotlandltdtaultrasounddirect.co.uk,info@ultrasoundscotlandltdtaultrasounddirect.co.uk
Union Jacques Limited,London,- select -,Worker (A rating),Skilled Worker,unionjacqueslimited.co.uk,info@unionjacqueslimited.co.uk
Unique Fabrics (Uk) Ltd,London,Unknown,Worker (A rating),Skilled Worker,uniquefabricsukltd.co.uk,info@uniquefabricsukltd.co.uk
United Foods Chain Ltd,Dunstable,Unknown,Worker (B rating),Skilled Worker,unitedfoodschainltd.co.uk,info@unitedfoodschainltd.co.uk
United Motors Manchester Ltd,Stockport,Unknown,Worker (A rating),Skilled Worker,unitedmotorsmanchesterltd.co.uk,info@unitedmotorsmanchesterltd.co.uk
Univeron Technologies Limited,Luton,Unknown,Worker (A rating),Skilled Worker,univerontechnologieslimited.co.uk,info@univerontechnologieslimited.co.uk
Unravel Technologies Limited,London,Unknown,Worker (A rating),Skilled Worker,unraveltechnologieslimited.co.uk,info@unraveltechnologieslimited.co.uk
V & U Enterprise Ltd,Risca,Wales,Worker (A rating),Skilled Worker,vuenterpriseltd.co.uk,info@vuenterpriseltd.co.uk
V N Subs Ltd,BRIGHTON,Unknown,Worker (A rating),Skilled Worker,vnsubsltd.co.uk,info@vnsubsltd.co.uk
Valstream Ltd,Reading,Unknown,Worker (A rating),Skilled Worker,valstreamltd.co.uk,info@valstreamltd.co.uk
Vantagerise Ltd T/A Lanton Strategies International,London,Unknown,Worker (A rating),Skilled Worker,vantageriseltdtalantonstrategiesinternational.co.uk,info@vantageriseltdtalantonstrategiesinternational.co.uk
Veritycorp Ltd,London,Unknown,Worker (A rating),Skilled Worker,veritycorpltd.co.uk,info@veritycorpltd.co.uk
Vida Bank Limited,London,Unknown,Worker (A rating),Skilled Worker,vidabanklimited.co.uk,info@vidabanklimited.co.uk
Vincere Healthcare Limited,London,Unknown,Worker (A rating),Skilled Worker,vincerehealthcarelimited.co.uk,info@vincerehealthcarelimited.co.uk
Vintners Gourmet Ltd T/A Vinters Park Tandoori,Maidstone,Kent,Worker (A rating),Skilled Worker,vintnersgourmetltdtavintersparktandoori.co.uk,info@vintnersgourmetltdtavintersparktandoori.co.uk
Vinusha Ltd,"Manchester,",Unknown,Worker (A rating),Skilled Worker,vinushaltd.co.uk,info@vinushaltd.co.uk
Virtual Alliance Limited,Oxford,Oxfordshire,Worker (A rating),Skilled Worker,virtualalliancelimited.co.uk,info@virtualalliancelimited.co.uk
W.D. Stephen & Co,Nairn,Unknown,Worker (A rating),Skilled Worker,wdstephenco.co.uk,info@wdstephenco.co.uk
W.M.London Ltd,Feltham,Unknown,Worker (A rating),Skilled Worker,wmlondonltd.co.uk,info@wmlondonltd.co.uk
Wangguiren Brighton Ltd T/A Mr Wang Hot Pot Brighton,Brighton,Unknown,Worker (A rating),Skilled Worker,wangguirenbrightonltdtamrwanghotpotbrighton.co.uk,info@wangguirenbrightonltdtamrwanghotpotbrighton.co.uk
Wapping Dental Centre,LONDON,Unknown,Worker (A rating),Skilled Worker,wappingdentalcentre.co.uk,info@wappingdentalcentre.co.uk
Watford 3Pl Ltd,Watford,Unknown,Worker (A rating),Skilled Worker,watford3plltd.co.uk,info@watford3plltd.co.uk
Wayside Communications Ltd,Birmingham,Unknown,Worker (A rating),Skilled Worker,waysidecommunicationsltd.co.uk,info@waysidecommunicationsltd.co.uk
Weefin Esg Uk Ltd,LONDON,Unknown,Worker (A rating),Global Business Mobility: Senior or Specialist Worker,weefinesgukltd.co.uk,info@weefinesgukltd.co.uk
Weefin Esg Uk Ltd,LONDON,Unknown,Worker (A rating),Skilled Worker,weefinesgukltd.co.uk,info@weefinesgukltd.co.uk
Wesley Hall Community Centre,Leicester,Unknown,Worker (A rating),Skilled Worker,wesleyhallcommunitycentre.co.uk,info@wesleyhallcommunitycentre.co.uk
Westville Limited,Shirebrook,Nottinghamshire,Worker (A rating),Skilled Worker,westvillelimited.co.uk,info@westvillelimited.co.uk
Wigan Athletic Afc Limited,Wigan,Lancashire,Worker (A rating),International Sportsperson,wiganathleticafclimited.co.uk,info@wiganathleticafclimited.co.uk
Wigan Athletic Afc Limited,Wigan,Lancashire,Worker (A rating),Skilled Worker,wiganathleticafclimited.co.uk,info@wiganathleticafclimited.co.uk
William T Healthcare Ltd,Leicester,Leicester,Worker (A rating),Skilled Worker,williamthealthcareltd.co.uk,info@williamthealthcareltd.co.uk
Wimbledon Clinic,wimbledon,Select,Worker (A rating),Skilled Worker,wimbledonclinic.co.uk,info@wimbledonclinic.co.uk
Woodys 18 Limited T/A Woodstock Stores,Kilmarnock,Unknown,Worker (A rating),Skilled Worker,woodys18limitedtawoodstockstores.co.uk,info@woodys18limitedtawoodstockstores.co.uk
Worksolv Ltd,Manchester,Unknown,Worker (A rating),Skilled Worker,worksolvltd.co.uk,info@worksolvltd.co.uk
Worton Construction Limited,Isleworth,Middlesex,Worker (A rating),Skilled Worker,wortonconstructionlimited.co.uk,info@wortonconstructionlimited.co.uk
Wss Energy Consulting Limited,Woking,Surrey,Worker (A rating),Skilled Worker,wssenergyconsultinglimited.co.uk,info@wssenergyconsultinglimited.co.uk
Xenon Services Ltd,London,Unknown,Worker (A rating),Skilled Worker,xenonservicesltd.co.uk,info@xenonservicesltd.co.uk
Y Patel Limited,Chigwell,Essex,Worker (A rating),Skilled Worker,ypatellimited.co.uk,info@ypatellimited.co.uk
Yako Limited T/A Yako,Pinner,Unknown,Worker (A rating),Skilled Worker,yakolimitedtayako.co.uk,info@yakolimitedtayako.co.uk
Your Perfect Mate Ltd,BLACKBURN,Unknown,Worker (A rating),Skilled Worker,yourperfectmateltd.co.uk,info@yourperfectmateltd.co.uk
Your Trip Mate Uk Ltd,London,Unknown,Worker (UK Expansion Worker: Provisional),Global Business Mobility: UK Expansion Worker,yourtripmateukltd.co.uk,info@yourtripmateukltd.co.uk
Za Construction & Floor Fitting Ltd,Hayes,Unknown,Worker (A rating),Skilled Worker,zaconstructionfloorfittingltd.co.uk,info@zaconstructionfloorfittingltd.co.uk
Zaria Group Uk Limited,London,Unknown,Worker (A rating),Global Business Mobility: Senior or Specialist Worker,zariagroupuklimited.co.uk,info@zariagroupuklimited.co.uk
Zaria Group Uk Limited,London,Unknown,Worker (A rating),Skilled Worker,zariagroupuklimited.co.uk,info@zariagroupuklimited.co.uk
Zazus Kitchen Pubs Ltd,Bristol,Unknown,Worker (A rating),Skilled Worker,zazuskitchenpubsltd.co.uk,info@zazuskitchenpubsltd.co.uk
Zenif Agency Ltd,Bedford,Unknown,Worker (A rating),Skilled Worker,zenifagencyltd.co.uk,info@zenifagencyltd.co.uk
